prov_id,Facility,Population Served,Phone Number,Street Address,Ext.,City,County,ZIP Code,Contact Email,full_add,lon,lat
GAAC01822,JACKSON COUNTY EMS,Private,+1 (706) 367-6356,86 GORDON STREET,NA,JEFFERSON,Jackson,30549,JBAKER@JACKSONCOUNTYGOV.COM,"86 GORDON STREET, JEFFERSON, GA 30549",-83.5733601,34.1162265
GAAC01617,WAYNE FARMS OCCUPATIONAL HEALTH,Private,+1 (706) 693-3547,977 WAYNE POULTRY ROAD,NA,PENDERGRASS,Jackson,30567,RON.BURGESS@WAYNEFARMS.COM,"977 WAYNE POULTRY ROAD, PENDERGRASS, GA 30567",-83.6738619,34.177887
GAAC00174,MIDDLE GEORGIA MEDICAL ASSOCIATES,Private,+1 (706) 999-0243-26616,1110 COMMERCE DR,SUITE 108,GREENSBORO,Greene,30642,MICHELLE.CHAMPAGNE001@STMARYSATHENS.ORG,"1110 COMMERCE DR, GREENSBORO, GA 30642",-83.2413164,33.4565383
GAAC01919,EVAN FLIEGEL MD PC,Private,+1 (706) 546-5340,1000 HAWTHORNE AVE BLDG P,NA,ATHENS,Clarke,30606,EVANFLIEGEL@YAHOO.COM,"1000 HAWTHORNE AVE BLDG P, ATHENS, GA 30606",-83.4127957,33.9697175
GAAC00848,ENT OF ATHENS,Private,+1 (706) 546-7908-246,150 NACOOCHEE AVENUE,NA,ATHENS,Clarke,30601,PRACTICEMANAGER@ENTOFATHENS.COM,"150 NACOOCHEE AVENUE, ATHENS, GA 30601",-83.3951718,33.9638009
GAAC00180,ATHENS GERIATRICS & INTERNAL MEDICINE PC,Private,+1 (706) 549-8931,1500 OGLETHORPE AVE,NA,ATHENS,Clarke,30606,ATHENS.GERIATRICS@GMAIL.COM,"1500 OGLETHORPE AVE, ATHENS, GA 30606",-83.4263916,33.9631996
GAAC01902,UNIVERSITY DERMATOLOGY AND SKIN CANCER C,Private,+1 (706) 614-1750,1500 OGLETHORPE AVENUE STE 300A,NA,ATHENS,Clarke,30606,PRACTICEADMINISTRATOR@UDSCC.COM,"1500 OGLETHORPE AVENUE STE 300A, ATHENS, GA 30606",-83.4259987,33.9635864
GAAC01862,PREMISE HEALTH-BOEHRINGER INGELHEIM ATHE,Private,+1 (706) 552-2776,1630 OLYMPIC DRIVE,NA,ATHENS,Clarke,30601,OLIVE.GREEN@PREMISEHEALTH.COM,"1630 OLYMPIC DRIVE, ATHENS, GA 30601",-83.3316772,33.9868979
GAAC00168,PRUITTHEALTH GRANDVIEW,Private,+1 (706) 549-6013,165 WINSTON DRIVE,NA,ATHENS,Clarke,30607,SARCAIN@PRUITTHEALTH.COM,"165 WINSTON DRIVE, ATHENS, GA 30607",-83.3947598,33.9752738
GAAC00426,SURGERY CENTER OF ATHENS,Private,+1 (706) 583-5080-203,2142 WEST BROAD STREET,BUILDING 100  SUITE 100,ATHENS,Clarke,30606,KMIXON@SURGERYCENTEROFATHENS.COM,"2142 WEST BROAD STREET, ATHENS, GA 30606",-83.4064471,33.9510483
GAAC01345,MERCY HEALTH CENTER,Private,+1 (706) 425-9445-210,700 OGLETHORPE AVENUE,SUITE C7,ATHENS,Clarke,30606,MAUREE@MERCYHEALTHCENTER.NET,"700 OGLETHORPE AVENUE, ATHENS, GA 30606",-83.4124851,33.9630375
GAAC00417,CLARKE OCONEE FAMILY PRACTICE,Private,+1 (706) 353-7747,700 SUNSET DRIVE,SUITE 400A,ATHENS,Clarke,30606,NURSING2@CLARKEOCONEEFP.COM,"700 SUNSET DRIVE, ATHENS, GA 30606",-83.4106497,33.9648471
GAA601288,BOULEVARD FAMILY PRACTICE,Private,+1 (706) 850-6134,855 W BROAD ST,STE A,ATHENS,Clarke,30601,HUBBARD.ALTHEA@GMAIL.COM,"855 W BROAD ST, ATHENS, GA 30601",-83.3864109,33.9551234
GAAC00132,UNIVERSITY HEALTH CENTER,Private,+1 (706) 542-8715,55 CARLTON STREET,NA,ATHENS,Clarke,30602,JSWAILS@UHS.UGA.EDU,"55 CARLTON STREET, ATHENS, GA 30602",-83.3714103,33.937632
GAAC00643,WOMEN'S HEALTHCARE ASSOCIATES,Private,+1 (706) 369-0019-7087,355 HAWTHORNE LANE,NA,ATHENS,Clarke,30606,CLOCKE@AWHG.ORG,"355 HAWTHORNE LANE, ATHENS, GA 30606",-83.4163643,33.968665
GAAC00407,LANDMARK HOSPITAL OF ATHENS,Private,+1 (706) 425-1500-1519,775 SUNSET DRIVE,NA,ATHENS,Clarke,30606,KPARR@LANDMARKHOSPITALS.COM,"775 SUNSET DRIVE, ATHENS, GA 30606",-83.4115674,33.9663705
GAAC01625,ATHENS RENAL CENTER,Private,+1 (706) 549-2133,2047 PRINCE AVE,NA,ATHENS,Clarke,30606,CPOWELL@AMERICANRENAL.COM,"2047 PRINCE AVE, ATHENS, GA 30606",-83.4099406,33.9691017
GAA210112,CLARKE COUNTY SPECIALTY CARE,Private,+1 (706) 425-2970,700 SUNSET DR.,SUITE 501,ATHENS,Clarke,30606,KATHERINE.ENGLISH@DPH.GA.GOV,"700 SUNSET DR., ATHENS, GA 30606",-83.4106497,33.9648471
GAAC01368,ATHENS EAST DIALYSIS,Private,+1 (706) 549-3082,2026 S MILLEDGE AVE,STE A2,ATHENS,Clarke,30605-6480,SHEILA.L.MARTIN@DAVITA.COM,"2026 S MILLEDGE AVE, ATHENS, GA 30605-6480",-83.380191,33.9240949
GAAC00161,WINDER HEALTH CARE AND REHAB,Private,+1 (770) 867-2108,263 E MAY STREET,NA,WINDER,Barrow,30680,KCALLAWAY@WINDERHEALTHCARE.COM,"263 E MAY STREET, WINDER, GA 30680",-83.7109052,33.9799004
GAA601287,NGPG FAMILY HEALTY ASSOCIATES WINDER,Private,+1 (770) 848-9300,63 W CANDLER ST,NA,WINDER,Barrow,30680,JUDY.CAIN@NGHS.COM,"63 W CANDLER ST, WINDER, GA 30680",-83.7219475,33.9945148
GAAC00554,STMADMIN,"Private, but wants to be public as vaccines become available",+1 (706) 389-3784,1230 BAXTER STREET,NA,ATHENS,Clarke,30606,JDICKERSON@STMARYSSACREDHEART.ORG,"1230 BAXTER STREET, ATHENS, GA 30606",-83.4058492,33.9472661
GAAC00283,WELLNESS FIRST PC,"Private, but will transition to public as vaccines become available",+1 (706) 335-2777-3,641 HOSPITAL ROADSTE 4,NA,COMMERCE,Jackson,30529,LISA@WELLFIRST.ORG,"641 HOSPITAL ROADSTE 4, COMMERCE, GA 30529",-83.4693508,34.2170192
GAAC00030,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,"Private, but would be interested in partnering to do more",+1 (706) 475-3518,1199 PRINCE AVENUE,NA,ATHENS,Clarke,30606,PHIL.CARPENTER2@PIEDMONT.ORG,"1199 PRINCE AVENUE, ATHENS, GA 30606",-83.3979673,33.9613926
GAA500941,OUR FAMILY HEALTH CENTER,Private/will become public when vaccine supply rises,+1 (770) 464-0280,551 NORTH CHEROKEE ROAD,NA,SOCIAL CIRCLE,Walton,30025-2887,mae.huffman@ourfamilyhealthcenter.com,"551 NORTH CHEROKEE ROAD, SOCIAL CIRCLE, GA 30025-2887",-83.7142472,33.663384
GAA210110,WALTON COUNTY HEALTH DEPT,Public,+1 (770) 207-4125-3228,1404 SOUTH MADISON AVENUE,NA,MONROE,Walton,30655-2816,REBECCA.MOORE@DPH.GA.GOV,"1404 SOUTH MADISON AVENUE, MONROE, GA 30655-2816",-83.7006914,33.7717514
GAAC00993,WALMART STORE 780,Public,+1 (770) 267-4175,2050 W SPRING ST,NA,MONROE,Walton,30655-3164,RX-MANAGER.S00780@STORES.US.WAL-MART.COM,"2050 W SPRING ST, MONROE, GA 30655-3164",-83.7428229,33.798102
GAAC01401,WALGREENS #11539,Public,+1 (770) 266-6061,319 S BROAD ST,NA,MONROE,Walton,30655,RXM.11539@STORE.WALGREENS.COM,"319 S BROAD ST, MONROE, GA 30655",-83.7119451,33.7908221
GAAC01235,PUBLIX PHARMACY#0603,Public,+1 (770) 466-5156,4325 ATLANTA HWY,NA,LOGANVILLE,Walton,30052,JERICA.SINGLETON@PUBLIX.COM,"4325 ATLANTA HWY, LOGANVILLE, GA 30052",-83.9080828,33.8392188
GAA210116,LOGANVILLE COUNTY HEALTH DEPARTMENT,Public,+1 (770) 466-1789-3237,4385 PECAN STREET,NA,LOGANVILLE,Walton,30052,SHERI.TRAYLOR@DPH.GA.GOV,"4385 PECAN STREET, LOGANVILLE, GA 30052",-83.9016048,33.8399825
GAAC01397,WALGREENS #9629,Public,+1 (678) 639-0213,4398 ATLANTA HWY,NA,LOGANVILLE,Walton,30052-7314,RXM.09629@STORE.WALGREENS.COM,"4398 ATLANTA HWY, LOGANVILLE, GA 30052-7314",-83.9010886,33.8382216
GAAC00742,KROGER PHARMACY 679,Public,+1 (678) 639-4500,4753 ATLANTA HWY,NA,LOGANVILLE,Walton,30052,AT00679PHARMACY@STORES.KROGER.COM,"4753 ATLANTA HWY, LOGANVILLE, GA 30052",-83.8842412,33.8310879
GAA500787,OFFICE OF DR. SRIDEVI SIRUVELLA MD,Public,+1 (770) 266-0567,512 GREAT OAKS DR,NA,MONROE,Walton,30655,SIRUVELLA@GMAIL.COM,"512 GREAT OAKS DR, MONROE, GA 30655",-83.7431341,33.7904039
GAA501218,MEDLINK MONROE HEALTHCARE FOR WOMEN,Public,+1 (770) 266-0935,704 BREEDLOVE DR. SUITE B,NA,MONROE,Walton,30655,LPOLITANO@MEDLINKGA.ORG,"704 BREEDLOVE DR. SUITE B, MONROE, GA 30655",-83.720474,33.7826908
GAAC01622,CARMICHAEL DRUGS,Public,+1 (770) 267-2559,150 MARTIN LUTHER KING BLVD,NA,MONROE,Walton,30655,CHRISTINAHANSON@CARMICHAELDRUGS.COM,"150 MARTIN LUTHER KING BLVD, MONROE, GA 30655",-83.7452295,33.7943128
GAA703020,MEDLINK OF GEORGIA - OGLETHORPE,Public,+1 (706) 743-8171,247 UNION POINT STREET,NA,LEXINGTON,Oglethorpe,30648,LPOLITANO@MEDLINKGA.ORG,"247 UNION POINT STREET, LEXINGTON, GA 30648",-83.1192419,33.8698852
GAA210109,OGLETHORPE COUNTY HEALTH DEPT,Public,+1 (706) 743-7204,305 UNION POINT ROAD,NA,LEXINGTON,Oglethorpe,30648-2304,DIXIE.TODD@DPH.GA.GOV,"305 UNION POINT ROAD, LEXINGTON, GA 30648-2304",-83.1199542,33.8696213
GAAC01678,SKRIP SHOPPE PHARMACY,Public,+1 (706) 743-5477,778 ATHENS ROAD,NA,LEXINGTON,Oglethorpe,30648,LBRIDGES@SKRIPSHOPPE.NET,"778 ATHENS ROAD, LEXINGTON, GA 30648",-83.1260024,33.8862153
GAA210108,OCONEE COUNTY HEALTH DEPT,Public,+1 (706) 769-3983-6117,1060 EXPERIMENT STATION ROAD,NA,WATKINSVILLE,Oconee,30677-5323,KELSEY.CLAY@DPH.GA.GOV,"1060 EXPERIMENT STATION ROAD, WATKINSVILLE, GA 30677-5323",-83.4126937,33.8664332
GAAC01855,FARMER'S OCONEE PHARMACY,Public,+1 (706) 769-3215,1160 CAPITAL AVE,SUITE 101,WATKINSVILLE,Oconee,30677,RXDAWG@MINDSPRING.COM,"1160 CAPITAL AVE, WATKINSVILLE, GA 30677",-83.4462221,33.869262
GAAC01347,JENNINGS MILL DRUG COMPANY,Public,+1 (706) 621-5996,1360 CADUCEUS WAY,BLDG 400 SUITE 105,WATKINSVILLE,Oconee,30677,JMDCRX@GMAIL.COM,"1360 CADUCEUS WAY, WATKINSVILLE, GA 30677",-83.4680228,33.9165499
GAAC00999,WALMART STORE 1400,Public,+1 (706) 549-0236,1911 EPPS BRIDGE PKWY,NA,ATHENS,Oconee,30606-6130,RX-MANAGER.S01400@STORES.US.WAL-MART.COM,"1911 EPPS BRIDGE PKWY, ATHENS, GA 30606-6130",-83.4450131,33.9198397
GAAC00020,URGENT CARE OF OCONEE,Public,+1 (7063100324),2061 EXPERIEMENT STATION ROAD,SUITE 505,WATKINSVILLE,Oconee,30677,COVIDVACCINE@URGENTCAREOFOCONEE.COM,"2061 EXPERIEMENT STATION ROAD, WATKINSVILLE, GA 30677",-83.4411773,33.8712074
GAAC01138,PUBLIX PHARMACY#0617,Public,+1 (706) 769-2086,2061 EXPERIMENT STATION RD,NA,WATKINSVILLE,Oconee,30677,JERICA.SINGLETON@PUBLIX.COM,"2061 EXPERIMENT STATION RD, WATKINSVILLE, GA 30677",-83.4411773,33.8712074
GAAC00788,ATHENS REDDY MEDICAL GROUP,Public,+1 (706) 621-7575-1203,1061 DOWDY RD.,STE 101,ATHENS,Oconee,30606,SCRAFT@REDDYMEDICALGROUP.COM,"1061 DOWDY RD., ATHENS, GA 30606",-83.4409271,33.917106
GAAC00547,INGLES PHARMACY #444,Public,+1 (706) 342-3119,1441 EATONTON RD,NA,MADISON,Morgan,30650,INGRX444@INGLES-MARKETS.COM,"1441 EATONTON RD, MADISON, GA 30650",-83.4781911,33.5737037
GAAC00956,WALMART STORE 1363,Public,+1 (706) 342-4853,1681 EATONTON RD,NA,MADISON,Morgan,30650-4632,RX-MANAGER.S01363@STORES.US.WAL-MART.COM,"1681 EATONTON RD, MADISON, GA 30650-4632",-83.4798579,33.566127
GAA210107,MORGAN COUNTY HEALTH DEPT,Public,+1 (706) 752-1266-235,2005 SOUTH MAIN STREET,SUITE 200,MADISON,Morgan,30650-2055,LEAH.AINSLIE@DPH.GA.GOV,"2005 SOUTH MAIN STREET, MADISON, GA 30650-2055",-83.4811284,33.5841619
GAAC00138,MORGAN MEMORIAL HOSPITAL,Public,+1 (706) 342-1667-213,1740 LIONS CLUB RD,NA,MADISON,Morgan,30650,Elizabetha@mmh.org,"1740 LIONS CLUB RD, MADISON, GA 30650",-83.4816957,33.5638963
GAA700020,MEDLINK GEORGIA,Public,+1 (706) 788-2127-1307,11 CHARLIE MORRIS RD,NA,COLBERT,Madison,30628-2445,TJOHNSON@MEDLINKGA.ORG,"11 CHARLIE MORRIS RD, COLBERT, GA 30628-2445",-83.2355025,34.0337413
GAA210106,MADISON COUNTY HEALTH DEPT,Public,+1 (706) 795-2131,1424 HIGHWAY 98 WEST,NA,DANIELSVILLE,Madison,30633-0000,ELIZABETH.ALLEN@DPH.GA.GOV,"1424 HIGHWAY 98 WEST, DANIELSVILLE, GA 30633-0000",-83.2364228,34.1440106
GAA712030,MEDLINK HABERSHAM,Public,+1 (706) 754-4348,396 HISTORIC HIGHWAY 441 N,NA,DEMOREST,Madison,30535,LPOLITANO@MEDLINKGA.ORG,"396 HISTORIC HIGHWAY 441 N, DEMOREST, GA 30535",-83.5361059,34.5790888
GAAC01356,THE MEDICINE SHOPPE PHARMACY,Public,+1 (706) 795-0920,7 JOHNSON DRIVE,NA,DANIELSVILLE,Madison,30633,LCR317537@GMAIL.COM,"7 JOHNSON DRIVE, DANIELSVILLE, GA 30633",-83.2214677,34.1233903
GAAC00655,INGLES PHARMACY #450,Public,+1 (706) 613-1734,9161 HWY 29 SOUTH,NA,HULL,Madison,30646,INGRX450@INGLES-MARKETS.COM,"9161 HWY 29 SOUTH, HULL, GA 30646",-83.3158188,34.0284996
GAAC01399,WALGREENS #11791,Public,+1 (706) 336-5931,2100 N BROAD ST,NA,COMMERCE,Jackson,30529-1700,RXM.11791@STORE.WALGREENS.COM,"2100 N BROAD ST, COMMERCE, GA 30529-1700",-83.4624379,34.2067376
GAAC00682,INGLES PHARMACY #419,Public,+1 (706) 335-4650,220 HWY 334,NA,COMMERCE,Jackson,30530,INGRX419@INGLES-MARKETS.COM,"220 HWY 334, COMMERCE, GA 30530",-83.440332,34.1801723
GAAC01323,JEFFERSON DRUGS,Public,+1 (706) 367-5221,23 LEE STREET,NA,JEFFERSON,Jackson,30549,PHARMACY@JEFFDRUG.COM,"23 LEE STREET, JEFFERSON, GA 30549",-83.5735229,34.1170348
GAAC01107,WALMART STORE #3,Public,+1 (706) 336-7818,30983 HIGHWAY 441 S,NA,COMMERCE,Jackson,30529-6655,RX-MANAGER.S00003@STORES.US.WAL-MART.COM,"30983 HIGHWAY 441 S, COMMERCE, GA 30529-6655",-83.4408309,34.1803795
GAA501199,MEDLINK GEORGIA - JACKSON,Public,+1 (706) 608-5124,613 HOSPITAL ROAD,NA,COMMERCE,Jackson,30529,LPOLITANO@MEDLINKGA.ORG,"613 HOSPITAL ROAD, COMMERCE, GA 30529",-83.4694816,34.2167153
GAA210111,JACKSON COUNTY HEALTH DEPT-COMMERCE,Public,+1 (706) 335-3895,623 SOUTH ELM STREET,NA,COMMERCE,Jackson,30529-3208,ELAINE.MCDONALD@DPH.GA.GOV,"623 SOUTH ELM STREET, COMMERCE, GA 30529-3208",-83.4467212,34.1914506
GAAC00870,U-SAVE-IT PHARMACY/COMMERCE DRUGS,Public,+1 (706) 335-3111,1751 N ELM ST,NA,COMMERCE,Jackson,30529,COMMERCE@U-SAVE-IT.COM,"1751 N ELM ST, COMMERCE, GA 30529",-83.4579986,34.2034952
GAAC00377,THE LITTLE CLINIC - KROGER - JEFFERSON,Public,+1 (706) 387-7637,1685 OLD PENDERGRASS ROAD,NA,JEFFERSON,Jackson,30549,ATL00307CLINICMGR@THELITTLECLINIC.COM,"1685 OLD PENDERGRASS ROAD, JEFFERSON, GA 30549",-83.6059059,34.1221231
GAA210105,JACKSON COUNTY HEALTH DEPT,Public,+1 (706) 367-5204,341 STAN EVANS DR,NA,JEFFERSON,Jackson,30549-2905,KAYLA.BENTLEY@DPH.GA.GOV,"341 STAN EVANS DR, JEFFERSON, GA 30549-2905",-83.5635156,34.1411651
GAAC00090,CRAWFORD W. LONG PHARMACY,Public,+1 (706) 367-5285,86 N. PUBLIC SQUARE,NA,JEFFERSON,Jackson,30549,CRAWFORDLONGPHARMACY@WINDSTREAM.NET,"86 N. PUBLIC SQUARE, JEFFERSON, GA 30549",-83.5733652,34.1180744
GAAC00294,COWLES CLINIC-UROLOGY,Public,+1 (706) 454-0100,1000 COWLES CLINIC WAY C-100,CEDAR COTTAGE,GREENSBORO,Greene,30642,ALLISONANDERSON952@GMAIL.COM,"1000 COWLES CLINIC WAY C-100, GREENSBORO, GA 30642",-83.233804,33.4490381
GAA210104,GREENE COUNTY HEALTH DEPT,Public,+1 (706) 453-7561-5228,1031 APALACHEE AVENUE,NA,GREENSBORO,Greene,30642-2710,AMBER.VANDIVER@DPH.GA.GOV,"1031 APALACHEE AVENUE, GREENSBORO, GA 30642-2710",-83.1995204,33.5755572
GAAC01239,PUBLIX PHARMACY#0853,Public,+1 (706) 454-7150,6350 LAKE OCONEE PARKWAY STE. 106,NA,GREENSBORO,Greene,30642,JERICA.SINGLETON@PUBLIX.COM,"6350 LAKE OCONEE PARKWAY STE. 106, GREENSBORO, GA 30642",-83.2446623,33.4556746
GAAC01449,WALGREENS #11166,Public,+1 (706) 283-8228,18 COLLEGE AVE,NA,ELBERTON,Elbert,30635-1740,RXM.11166@STORE.WALGREENS.COM,"18 COLLEGE AVE, ELBERTON, GA 30635-1740",-82.8677219,34.1115497
GAA704020,MEDLINK BOWMAN,Public,+1 (706) 245-7361,206 EAST CHURCH ST,NA,BOWMAN,Elbert,30624,LPOLITANO@MEDLINKGA.ORG,"206 EAST CHURCH ST, BOWMAN, GA 30624",-83.0237328,34.2037714
GAA210103,ELBERT COUNTY HEALTH DEPT,Public,+1 (706) 283-3775-2615,618 JONES STREET,NA,ELBERTON,Elbert,30635-1985,WANDA.GRAHAM@DPH.GA.GOV,"618 JONES STREET, ELBERTON, GA 30635-1985",-82.8828627,34.1107846
GAAC00656,INGLES PHARMACY #65,Public,+1 (706) 283-7095,903 ELBERT ST,NA,ELBERTON,Elbert,30635,INGRX065@INGLES-MARKETS.COM,"903 ELBERT ST, ELBERTON, GA 30635",-82.8450463,34.0969493
GAAC01001,WALMART STORE 1701,Public,+1 (706) 283-8735,955 ELBERT ST,NA,ELBERTON,Elbert,30635-2641,RX-MANAGER.S01701@STORES.US.WAL-MART.COM,"955 ELBERT ST, ELBERTON, GA 30635-2641",-82.8455512,34.0919601
GAAC01314,MADDEN'S PHARMACY,Public,+1 (706) 283-1701,101 COLLEGE AVE,NA,ELBERTON,Elbert,30635,DONALDJPIELAJR@BELLSOUTH.NET,"101 COLLEGE AVE, ELBERTON, GA 30635",-82.8713602,34.1134264
GAA600113,THE MEDICAL CENTER OF ELBERTON,Public,+1 (706) 283-3315,109 COLLEGE AVENUE,NA,ELBERT,Elbert,30635,TMEWBORNE@TMCE.NET,"109 COLLEGE AVENUE, ELBERT, GA 30635",-82.871886,34.1138246
GAAC00794,INNOVATIVE HEALTH CARE INSTITUTE,Public,+1 (706) 705-2033,100 SEAGRAVES DRIVE,SUITE 1,ATHENS,Clarke,30605-2492,DR.ALLEN@IHCI411.COM,"100 SEAGRAVES DRIVE, ATHENS, GA 30605-2492",-83.3321995,33.9423894
GAAC01891,ATHENS PHARMACY,Public,+1 (706) 850-5553,1086 BAXTER ST,NA,ATHENS,Clarke,30606,MYATHENSPHARMACY@GMAIL.COM,"1086 BAXTER ST, ATHENS, GA 30606",-83.4011798,33.9467776
GAAC01444,WALGREENS #7134,Public,+1 (706) 543-2951,110 HAWTHORNE AVE,NA,ATHENS,Clarke,30606-2814,RXM.07134@STORE.WALGREENS.COM,"110 HAWTHORNE AVE, ATHENS, GA 30606-2814",-83.4092314,33.9509817
GAAC00777,ADD DRUG,Public,+1 (706) 548-2239,1695 S LUMPKIN ST,NA,ATHENS,Clarke,30606,ADD.DRUG@GMAIL.COM,"1695 S LUMPKIN ST, ATHENS, GA 30606",-83.3869933,33.9373426
GAAC01225,PUBLIX PHARMACY#1146,Public,+1 (706) 227-6265,1860 BARNETT SHOALS ROAD,NA,ATHENS,Clarke,30605,MARIANA.JONES@PUBLIX.COM,"1860 BARNETT SHOALS ROAD, ATHENS, GA 30605",-83.3401378,33.9255561
GAAC00603,KROGER PHARMACY 428,Public,+1 (706) 453-3533,191 ALPS RD,NA,ATHENS,Clarke,30606,AT00428PHARMACY@STORES.KROGER.COM,"191 ALPS RD, ATHENS, GA 30606",-83.4073125,33.946629
GAAC00507,KROGER PHARMACY 255,Public,+1 (706) 353-6882,2301 COLLEGE STATION RD,NA,ATHENS,Clarke,30605,AT00255PHARMACY@STORES.KROGER.COM,"2301 COLLEGE STATION RD, ATHENS, GA 30605",-83.3437049,33.9218683
GAAC01645,VILLAGE DRUG SHOP AT ADVANTAGE,Public,+1 (706) 850-4955,240 MITCHELL BRIDGE RD,NA,ATHENS,Clarke,30606,VILLAGEATADVANTAGE@GMAIL.COM,"240 MITCHELL BRIDGE RD, ATHENS, GA 30606",-83.4324183,33.9626438
GAAC01448,WALGREENS #17791,Public,+1 (706) 549-8598,2435 JEFFERSON ROAD,NA,ATHENS,Clarke,30607,RXM.17791@STORE.WALGREENS.COM,"2435 JEFFERSON ROAD, ATHENS, GA 30607",-83.4156969,33.9724448
GAAC01091,WALMART STORE 5267,Public,+1 (706) 715-6236,3130 ATLANTA HWY,NA,ATHENS,Clarke,30606-6977,RX-MANAGER.S05267@STORES.US.WAL-MART.COM,"3130 ATLANTA HWY, ATHENS, GA 30606-6977",-83.4446795,33.9430724
