,Facility,Population Served,Phone Number,Street Address,Ext.,City,County,ZIP Code,Contact Email,
GAA500155,MADISON FAMILY MEDICINE,Private,+1 (706) 342-1555-105,2002 SOUTH MAIN STREET,,MADISON,Morgan,30650-4621,TALLPAMELAHALL@GMAIL.COM,
GAAC00259,ADAMS PRIMARY CARE PC,Private,+1 (706) 795-9588,25 NOMORA DRIVE,,DANIELSVILLE,Madison,30633,ADAMSPRIMARYCARE@WINDSTREAM.NET,
GAA501001,NORTHEAST GEORGIA PHYSICIANS GROUP JEFFE,Private,+1 (770) 848-5400,1689 OLD PENDERGRASS RD SUITE 340,,JEFFERSON,Jackson,30549,HALEY.BENTLEY@NGHS.COM,
GAA601291,NGPG WEST JACKSON,Private,+1 (706) 658-2452,26 W JACKSON COMMONS DR,,HOSCHTON,Jackson,30548,ASHTON.SHULER@NGHS.COM,
GAAC01822,JACKSON COUNTY EMS,Private,+1 (706) 367-6356,86 GORDON STREET,,JEFFERSON,Jackson,30549,JBAKER@JACKSONCOUNTYGOV.COM,
GAAC01617,WAYNE FARMS OCCUPATIONAL HEALTH,Private,+1 (706) 693-3547,977 WAYNE POULTRY ROAD,,PENDERGRASS,Jackson,30567,RON.BURGESS@WAYNEFARMS.COM,
GAAC00174,MIDDLE GEORGIA MEDICAL ASSOCIATES,Private,+1 (706) 999-0243-26616,1110 COMMERCE DR,SUITE 108,GREENSBORO,Greene,30642,MICHELLE.CHAMPAGNE001@STMARYSATHENS.ORG,
GAAC01919,EVAN FLIEGEL MD PC,Private,+1 (706) 546-5340,1000 HAWTHORNE AVE BLDG P,,ATHENS,Clarke,30606,EVANFLIEGEL@YAHOO.COM,
GAAC00848,ENT OF ATHENS,Private,+1 (706) 546-7908-246,150 NACOOCHEE AVENUE,,ATHENS,Clarke,30601,PRACTICEMANAGER@ENTOFATHENS.COM,
GAAC00180,ATHENS GERIATRICS & INTERNAL MEDICINE PC,Private,+1 (706) 549-8931,1500 OGLETHORPE AVE,,ATHENS,Clarke,30606,ATHENS.GERIATRICS@GMAIL.COM,
GAAC01902,UNIVERSITY DERMATOLOGY AND SKIN CANCER C,Private,+1 (706) 614-1750,1500 OGLETHORPE AVENUE STE 300A,,ATHENS,Clarke,30606,PRACTICEADMINISTRATOR@UDSCC.COM,
GAAC01862,PREMISE HEALTH-BOEHRINGER INGELHEIM ATHE,Private,+1 (706) 552-2776,1630 OLYMPIC DRIVE,,ATHENS,Clarke,30601,OLIVE.GREEN@PREMISEHEALTH.COM,
GAAC00168,PRUITTHEALTH GRANDVIEW,Private,+1 (706) 549-6013,165 WINSTON DRIVE,,ATHENS,Clarke,30607,SARCAIN@PRUITTHEALTH.COM,
GAAC00426,SURGERY CENTER OF ATHENS,Private,+1 (706) 583-5080-203,2142 WEST BROAD STREET,BUILDING 100  SUITE 100,ATHENS,Clarke,30606,KMIXON@SURGERYCENTEROFATHENS.COM,
GAAC01345,MERCY HEALTH CENTER,Private,+1 (706) 425-9445-210,700 OGLETHORPE AVENUE,SUITE C7,ATHENS,Clarke,30606,MAUREE@MERCYHEALTHCENTER.NET,
GAAC00417,CLARKE OCONEE FAMILY PRACTICE,Private,+1 (706) 353-7747,700 SUNSET DRIVE,SUITE 400A,ATHENS,Clarke,30606,NURSING2@CLARKEOCONEEFP.COM,
GAA601288,BOULEVARD FAMILY PRACTICE,Private,+1 (706) 850-6134,855 W BROAD ST,STE A,ATHENS,Clarke,30601,HUBBARD.ALTHEA@GMAIL.COM,
GAAC00132,UNIVERSITY HEALTH CENTER,Private,+1 (706) 542-8715,55 CARLTON STREET,,ATHENS,Clarke,30602,JSWAILS@UHS.UGA.EDU,
GAAC00643,WOMEN'S HEALTHCARE ASSOCIATES,Private,+1 (706) 369-0019-7087,355 HAWTHORNE LANE,,ATHENS,Clarke,30606,CLOCKE@AWHG.ORG,
GAAC00407,LANDMARK HOSPITAL OF ATHENS,Private,+1 (706) 425-1500-1519,775 SUNSET DRIVE,,ATHENS,Clarke,30606,KPARR@LANDMARKHOSPITALS.COM,
GAAC01625,ATHENS RENAL CENTER,Private,+1 (706) 549-2133,2047 PRINCE AVE,,ATHENS,Clarke,30606,CPOWELL@AMERICANRENAL.COM,
GAA210112,CLARKE COUNTY SPECIALTY CARE,Private,+1 (706) 425-2970,700 SUNSET DR.,SUITE 501,ATHENS,Clarke,30606,KATHERINE.ENGLISH@DPH.GA.GOV,
GAAC01368,ATHENS EAST DIALYSIS,Private,+1 (706) 549-3082,2026 S MILLEDGE AVE,STE A2,ATHENS,Clarke,30605-6480,SHEILA.L.MARTIN@DAVITA.COM,
GAAC00161,WINDER HEALTH CARE AND REHAB,Private,+1 (770) 867-2108,263 E MAY STREET,,WINDER,Barrow,30680,KCALLAWAY@WINDERHEALTHCARE.COM,
GAA601287,NGPG FAMILY HEALTY ASSOCIATES WINDER,Private,+1 (770) 848-9300,63 W CANDLER ST,,WINDER,Barrow,30680,JUDY.CAIN@NGHS.COM,
GAAC00554,STMADMIN,"Private, but wants to be public as vaccines become available",+1 (706) 389-3784,1230 BAXTER STREET,,ATHENS,Clarke,30606,JDICKERSON@STMARYSSACREDHEART.ORG,
GAAC00283,WELLNESS FIRST PC,"Private, but will transition to public as vaccines become available",+1 (706) 335-2777-3,641 HOSPITAL ROADSTE 4,,COMMERCE,Jackson,30529,LISA@WELLFIRST.ORG,
GAAC00030,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,"Private, but would be interested in partnering to do more",+1 (706) 475-3518,1199 PRINCE AVENUE,,ATHENS,Clarke,30606,PHIL.CARPENTER2@PIEDMONT.ORG,
GAA500941,OUR FAMILY HEALTH CENTER,Private/will become public when vaccine supply rises,+1 (770) 464-0280,551 NORTH CHEROKEE ROAD,,SOCIAL CIRCLE,Walton,30025-2887,mae.huffman@ourfamilyhealthcenter.com,
GAA210110,WALTON COUNTY HEALTH DEPT,Public,+1 (770) 207-4125-3228,1404 SOUTH MADISON AVENUE,,MONROE,Walton,30655-2816,REBECCA.MOORE@DPH.GA.GOV,
GAAC00993,WALMART STORE 780,Public,+1 (770) 267-4175,2050 W SPRING ST,,MONROE,Walton,30655-3164,RX-MANAGER.S00780@STORES.US.WAL-MART.COM,
GAAC01401,WALGREENS #11539,Public,+1 (770) 266-6061,319 S BROAD ST,,MONROE,Walton,30655,RXM.11539@STORE.WALGREENS.COM,
GAAC01235,PUBLIX PHARMACY#0603,Public,+1 (770) 466-5156,4325 ATLANTA HWY,,LOGANVILLE,Walton,30052,JERICA.SINGLETON@PUBLIX.COM,
GAA210116,LOGANVILLE COUNTY HEALTH DEPARTMENT,Public,+1 (770) 466-1789-3237,4385 PECAN STREET,,LOGANVILLE,Walton,30052,SHERI.TRAYLOR@DPH.GA.GOV,
GAAC01397,WALGREENS #9629,Public,+1 (678) 639-0213,4398 ATLANTA HWY,,LOGANVILLE,Walton,30052-7314,RXM.09629@STORE.WALGREENS.COM,
GAAC00742,KROGER PHARMACY 679,Public,+1 (678) 639-4500,4753 ATLANTA HWY,,LOGANVILLE,Walton,30052,AT00679PHARMACY@STORES.KROGER.COM,
GAA500787,OFFICE OF DR. SRIDEVI SIRUVELLA MD,Public,+1 (770) 266-0567,512 GREAT OAKS DR,,MONROE,Walton,30655,SIRUVELLA@GMAIL.COM,
GAA501218,MEDLINK MONROE HEALTHCARE FOR WOMEN,Public,+1 (770) 266-0935,704 BREEDLOVE DR. SUITE B,,MONROE,Walton,30655,LPOLITANO@MEDLINKGA.ORG,
GAAC01622,CARMICHAEL DRUGS,Public,+1 (770) 267-2559,150 MARTIN LUTHER KING BLVD,,MONROE,Walton,30655,CHRISTINAHANSON@CARMICHAELDRUGS.COM,
GAA703020,MEDLINK OF GEORGIA - OGLETHORPE,Public,+1 (706) 743-8171,247 UNION POINT STREET,,LEXINGTON,Oglethorpe,30648,LPOLITANO@MEDLINKGA.ORG,
GAA210109,OGLETHORPE COUNTY HEALTH DEPT,Public,+1 (706) 743-7204,305 UNION POINT ROAD,,LEXINGTON,Oglethorpe,30648-2304,DIXIE.TODD@DPH.GA.GOV,
GAAC01678,SKRIP SHOPPE PHARMACY,Public,+1 (706) 743-5477,778 ATHENS ROAD,,LEXINGTON,Oglethorpe,30648,LBRIDGES@SKRIPSHOPPE.NET,
GAA210108,OCONEE COUNTY HEALTH DEPT,Public,+1 (706) 769-3983-6117,1060 EXPERIMENT STATION ROAD,,WATKINSVILLE,Oconee,30677-5323,KELSEY.CLAY@DPH.GA.GOV,
GAAC01855,FARMER'S OCONEE PHARMACY,Public,+1 (706) 769-3215,1160 CAPITAL AVE,SUITE 101,WATKINSVILLE,Oconee,30677,RXDAWG@MINDSPRING.COM,
GAAC01347,JENNINGS MILL DRUG COMPANY,Public,+1 (706) 621-5996,1360 CADUCEUS WAY,BLDG 400 SUITE 105,WATKINSVILLE,Oconee,30677,JMDCRX@GMAIL.COM,
GAAC00999,WALMART STORE 1400,Public,+1 (706) 549-0236,1911 EPPS BRIDGE PKWY,,ATHENS,Oconee,30606-6130,RX-MANAGER.S01400@STORES.US.WAL-MART.COM,
GAAC00020,URGENT CARE OF OCONEE,Public,+1 (7063100324),2061 EXPERIEMENT STATION ROAD,SUITE 505,WATKINSVILLE,Oconee,30677,COVIDVACCINE@URGENTCAREOFOCONEE.COM,
GAAC01138,PUBLIX PHARMACY#0617,Public,+1 (706) 769-2086,2061 EXPERIMENT STATION RD,,WATKINSVILLE,Oconee,30677,JERICA.SINGLETON@PUBLIX.COM,
GAAC00788,ATHENS REDDY MEDICAL GROUP,Public,+1 (706) 621-7575-1203,1061 DOWDY RD.,STE 101,ATHENS,Oconee,30606,SCRAFT@REDDYMEDICALGROUP.COM,
GAAC00547,INGLES PHARMACY #444,Public,+1 (706) 342-3119,1441 EATONTON RD,,MADISON,Morgan,30650,INGRX444@INGLES-MARKETS.COM,
GAAC00956,WALMART STORE 1363,Public,+1 (706) 342-4853,1681 EATONTON RD,,MADISON,Morgan,30650-4632,RX-MANAGER.S01363@STORES.US.WAL-MART.COM,
GAA210107,MORGAN COUNTY HEALTH DEPT,Public,+1 (706) 752-1266-235,2005 SOUTH MAIN STREET,SUITE 200,MADISON,Morgan,30650-2055,LEAH.AINSLIE@DPH.GA.GOV,
GAAC00138,MORGAN MEMORIAL HOSPITAL,Public,+1 (706) 342-1667-213,1740 LIONS CLUB RD,,MADISON,Morgan,30650,Elizabetha@mmh.org,
GAA700020,MEDLINK GEORGIA,Public,+1 (706) 788-2127-1307,11 CHARLIE MORRIS RD,,COLBERT,Madison,30628-2445,TJOHNSON@MEDLINKGA.ORG,
GAA210106,MADISON COUNTY HEALTH DEPT,Public,+1 (706) 795-2131,1424 HIGHWAY 98 WEST,,DANIELSVILLE,Madison,30633-0000,ELIZABETH.ALLEN@DPH.GA.GOV,
GAA712030,MEDLINK HABERSHAM,Public,+1 (706) 754-4348,396 HISTORIC HIGHWAY 441 N,,DEMOREST,Madison,30535,LPOLITANO@MEDLINKGA.ORG,
GAAC01356,THE MEDICINE SHOPPE PHARMACY,Public,+1 (706) 795-0920,7 JOHNSON DRIVE,,DANIELSVILLE,Madison,30633,LCR317537@GMAIL.COM,
GAAC00655,INGLES PHARMACY #450,Public,+1 (706) 613-1734,9161 HWY 29 SOUTH,,HULL,Madison,30646,INGRX450@INGLES-MARKETS.COM,
GAAC01399,WALGREENS #11791,Public,+1 (706) 336-5931,2100 N BROAD ST,,COMMERCE,Jackson,30529-1700,RXM.11791@STORE.WALGREENS.COM,
GAAC00682,INGLES PHARMACY #419,Public,+1 (706) 335-4650,220 HWY 334,,COMMERCE,Jackson,30530,INGRX419@INGLES-MARKETS.COM,
GAAC01323,JEFFERSON DRUGS,Public,+1 (706) 367-5221,23 LEE STREET,,JEFFERSON,Jackson,30549,PHARMACY@JEFFDRUG.COM,
GAAC01107,WALMART STORE #3,Public,+1 (706) 336-7818,30983 HIGHWAY 441 S,,COMMERCE,Jackson,30529-6655,RX-MANAGER.S00003@STORES.US.WAL-MART.COM,
GAA501199,MEDLINK GEORGIA - JACKSON,Public,+1 (706) 608-5124,613 HOSPITAL ROAD,,COMMERCE,Jackson,30529,LPOLITANO@MEDLINKGA.ORG,
GAA210111,JACKSON COUNTY HEALTH DEPT-COMMERCE,Public,+1 (706) 335-3895,623 SOUTH ELM STREET,,COMMERCE,Jackson,30529-3208,ELAINE.MCDONALD@DPH.GA.GOV,
GAAC00870,U-SAVE-IT PHARMACY/COMMERCE DRUGS,Public,+1 (706) 335-3111,1751 N ELM ST,,COMMERCE,Jackson,30529,COMMERCE@U-SAVE-IT.COM,
GAAC00377,THE LITTLE CLINIC - KROGER - JEFFERSON,Public,+1 (706) 387-7637,1685 OLD PENDERGRASS ROAD,,JEFFERSON,Jackson,30549,ATL00307CLINICMGR@THELITTLECLINIC.COM,
GAA210105,JACKSON COUNTY HEALTH DEPT,Public,+1 (706) 367-5204,341 STAN EVANS DR,,JEFFERSON,Jackson,30549-2905,KAYLA.BENTLEY@DPH.GA.GOV,
GAAC00090,CRAWFORD W. LONG PHARMACY,Public,+1 (706) 367-5285,86 N. PUBLIC SQUARE,,JEFFERSON,Jackson,30549,CRAWFORDLONGPHARMACY@WINDSTREAM.NET,
GAAC00294,COWLES CLINIC-UROLOGY,Public,+1 (706) 454-0100,1000 COWLES CLINIC WAY C-100,CEDAR COTTAGE,GREENSBORO,Greene,30642,ALLISONANDERSON952@GMAIL.COM,
GAA210104,GREENE COUNTY HEALTH DEPT,Public,+1 (706) 453-7561-5228,1031 APALACHEE AVENUE,,GREENSBORO,Greene,30642-2710,AMBER.VANDIVER@DPH.GA.GOV,
GAAC01239,PUBLIX PHARMACY#0853,Public,+1 (706) 454-7150,6350 LAKE OCONEE PARKWAY STE. 106,,GREENSBORO,Greene,30642,JERICA.SINGLETON@PUBLIX.COM,
GAAC01449,WALGREENS #11166,Public,+1 (706) 283-8228,18 COLLEGE AVE,,ELBERTON,Elbert,30635-1740,RXM.11166@STORE.WALGREENS.COM,
GAA704020,MEDLINK BOWMAN,Public,+1 (706) 245-7361,206 EAST CHURCH ST,,BOWMAN,Elbert,30624,LPOLITANO@MEDLINKGA.ORG,
GAA210103,ELBERT COUNTY HEALTH DEPT,Public,+1 (706) 283-3775-2615,618 JONES STREET,,ELBERTON,Elbert,30635-1985,WANDA.GRAHAM@DPH.GA.GOV,
GAAC00656,INGLES PHARMACY #65,Public,+1 (706) 283-7095,903 ELBERT ST,,ELBERTON,Elbert,30635,INGRX065@INGLES-MARKETS.COM,
GAAC01001,WALMART STORE 1701,Public,+1 (706) 283-8735,955 ELBERT ST,,ELBERTON,Elbert,30635-2641,RX-MANAGER.S01701@STORES.US.WAL-MART.COM,
GAAC01314,MADDEN'S PHARMACY,Public,+1 (706) 283-1701,101 COLLEGE AVE,,ELBERTON,Elbert,30635,DONALDJPIELAJR@BELLSOUTH.NET,
GAA600113,THE MEDICAL CENTER OF ELBERTON,Public,+1 (706) 283-3315,109 COLLEGE AVENUE,,ELBERT,Elbert,30635,TMEWBORNE@TMCE.NET,
GAAC00794,INNOVATIVE HEALTH CARE INSTITUTE,Public,+1 (706) 705-2033,100 SEAGRAVES DRIVE,SUITE 1,ATHENS,Clarke,30605-2492,DR.ALLEN@IHCI411.COM,
GAAC01891,ATHENS PHARMACY,Public,+1 (706) 850-5553,1086 BAXTER ST,,ATHENS,Clarke,30606,MYATHENSPHARMACY@GMAIL.COM,
GAAC01444,WALGREENS #7134,Public,+1 (706) 543-2951,110 HAWTHORNE AVE,,ATHENS,Clarke,30606-2814,RXM.07134@STORE.WALGREENS.COM,
GAAC00777,ADD DRUG,Public,+1 (706) 548-2239,1695 S LUMPKIN ST,,ATHENS,Clarke,30606,ADD.DRUG@GMAIL.COM,
GAAC01225,PUBLIX PHARMACY#1146,Public,+1 (706) 227-6265,1860 BARNETT SHOALS ROAD,,ATHENS,Clarke,30605,MARIANA.JONES@PUBLIX.COM,
GAAC00603,KROGER PHARMACY 428,Public,+1 (706) 453-3533,191 ALPS RD,,ATHENS,Clarke,30606,AT00428PHARMACY@STORES.KROGER.COM,
GAAC00507,KROGER PHARMACY 255,Public,+1 (706) 353-6882,2301 COLLEGE STATION RD,,ATHENS,Clarke,30605,AT00255PHARMACY@STORES.KROGER.COM,
GAAC01645,VILLAGE DRUG SHOP AT ADVANTAGE,Public,+1 (706) 850-4955,240 MITCHELL BRIDGE RD,,ATHENS,Clarke,30606,VILLAGEATADVANTAGE@GMAIL.COM,
GAAC01448,WALGREENS #17791,Public,+1 (706) 549-8598,2435 JEFFERSON ROAD,,ATHENS,Clarke,30607,RXM.17791@STORE.WALGREENS.COM,
GAAC01091,WALMART STORE 5267,Public,+1 (706) 715-6236,3130 ATLANTA HWY,,ATHENS,Clarke,30606-6977,RX-MANAGER.S05267@STORES.US.WAL-MART.COM,
GAAC01319,ATHENS PULMONARY AND CRITICAL CARE,Public,+1 (706) 549-5560,3320 OLD JEFFERSON RD,BLDG 200 STE A,ATHENS,Clarke,30607,MNUNNS@ATHENSPULMONARY.COM,
GAAC01400,WALGREENS #12886,Public,+1 (706) 765-2000,3355 LEXINGTON RD,,ATHENS,Clarke,30605-2450,RXM.12886@STORE.WALGREENS.COM,
GAA210102,CLARKE COUNTY HEALTH DEPT,Public,+1 (706) 521-1277,345 NORTH HARRIS STREET,,ATHENS,Clarke,30601-2411,NATALIE.KEADLE@DPH.GA.GOV,
GAAC00003,ELBERT MEMORIAL HOSPITAL,Public,+1 (7062132547),4 MEDICAL DRIVE,,ELBERTON,Clarke,30635,THARLOW@EMHCARE.NET,
GAAC01116,SAMS CLUB STORE 8194,Public,+1 (706) 548-1913,4365 ATLANTA HWY,,BOGART,Clarke,30622-2208,PHARMACY-MGR.S08194@CLUBS.US.WAL-MART.COM,
GAAC01057,WALMART STORE 2811,Public,+1 (706) 355-3090,4375 LEXINGTON RD,,ATHNES,Clarke,30605-2525,RX-MANAGER.S02811@STORES.US.WAL-MART.COM,
GAAC00383,THE LITTLE CLINIC OF GA HWY 29,Public,+1 (706) 715-3746,700 US HWY 29 N,,ATHENS,Clarke,30601,ATL00311CLINICMGR@THELITTLECLINIC.COM,
GAAC00712,KROGER PHARMACY 618,Public,+1 (706) 715-3740,700 US HWY 29 NORTH,,ATHENS,Clarke,30601,AT00618PHARMACY@STORES.KROGER.COM,
GAAC01805,BUY WISE PHARMACY,Public,+1 (706) 353-7847,740 N CHASE STREET,,ATHENS,Clarke,30601,BUYWISEPHARMACY@MSN.COM,
GAAC00557,BENZER PHARMACY ATHENS,Public,+1 (706) 510-4040,484 NORTH AVENUE,,ATHENS,Clarke,30601,DONALDBESS@YAHOO.COM,
GAA700025,ATHENS NEIGHBORHOOD HEALTH CENTER,Public,+1 (706) 546-5526,675 COLLEGE AVE,,ATHENS,Clarke,30601,RGLADMON@ANEIGHBOR.ORG,
GAAC01479,VILLAGE DRUG SHOP,Public,+1 (706) 548-4444,740 PRINCE AVE,VILLAGE DRUG SHOP,ATHENS,Clarke,30606,VILDRUG@BELLSOUTH.NET,
GAA700012,ATHENS NEIGHBORHOOD HEALTH CENTER-HILSMA,Public,+1 (706) 546-7463,870 GAINES SCHOOL RD,,ATHENS,Clarke,30605,RGLADMON@ANEIGHBOR.ORG,
GAAC00468,KROGER PHARMACY 435,Public,+1 (706) 583-8911,1720 EPPS BRIDGE RD,,ATHENS,Clarke,30606,AT00435PHARMACY@STORES.KROGER.COM,
GAAC00205,UNIVERSITY CANCER AND BLOOD CENTER,Public,+1 (706) 353-4344,3320 OLD JEFFERSON ROAD,BLDG 700A,ATHENS,Clarke,30607,thall@universitycancer.com,
GAAC00228,EAST MARIETTA DRUGS HORTONS DRUG STORE,Public,+1 (706) 543-3454,101 EAST CLAYTON STREET,,ATHENS,Clarke,30601,HORTONSDRUGSTORE@BELLSOUTH.NET,
GAAC00129,HAWTHORNE DRUG CO.,Public,+1 (706) 548-5227,975A HAWTHORNE AVE,,ATHENS,Clarke,30606,ANDY@HAWTHORNEDRUGS.COM,
GAAC01394,WALGREENS #12726,Public,+1 (678) 425-6954,10 E MAY ST,,WINDER,Barrow,30680-1949,RXM.12726@STORE.WALGREENS.COM,
GAA601085,MEDLINK WINDER PEDIATRICS,Public,+1 (770) 867-6633-1715,133 WEST ATHENS STREET,,WINDER,Barrow,30680-1707,MVILLAGOMEZ@MEDLINKGA.ORG,
GAA210101,BARROW COUNTY HEALTH DEPT,Public,+1 (770) 307-3011-222,15 PORTER STREET EAST,,WINDER,Barrow,30680-2292,SUSAN.KRISTAL@DPH.GA.GOV,
GAAC00425,INGLES PHARMACY #451,Public,+1 (770) 277-5284,1502 ATLANTA HWY NW,,AUBURN,Barrow,30011,INGRX451@INGLES-MARKETS.COM,
GAAC01202,PUBLIX PHARMACY#0480,Public,+1 (770) 307-2906,17 MONROE HWY. STE. A,,WINDER,Barrow,30680,FRANCINE.NAPOLITANO@PUBLIX.COM,
GAAC00816,PUBLIX PHARMACY#0108,Public,+1 (678) 425-6206,2095 HIGHWAY 211 NW,,BRASELTON,Barrow,30517,FRANCINE.NAPOLITANO@PUBLIX.COM,
GAAC00446,FARMER'S PRESCRIPTION SHOP,Public,+1 (770) 867-9081,279 NORTH BROAD STREET,STE A,WINDER,Barrow,30680,RXDAWG@MINDSPRING.COM,
GAAC00674,INGLES PHARMACY #57,Public,+1 (770) 867-7116,283 N BROAD ST,,WINDER,Barrow,30680,INGRX057@INGLES-MARKETS.COM,
GAAC01010,WALMART STORE 520,Public,+1 (770) 307-1272,440 ATLANTA HWY NW,,WINDER,Barrow,30680-7826,RX-MANAGER.S00520@STORES.US.WAL-MART.COM,
GAAC01194,PUBLIX PHARMACY#1251,Public,+1 (770) 307-1637,916 LOGANVILLE HWY. SUITE 200,,BETHLEHEM,Barrow,30620,MARIANA.JONES@PUBLIX.COM,
GAA501069,HEALTH ASSOCIATES OF GEORGIA INC.,Public,+1 (678) 975-7471,323 RESOURCE PARKWAY,,WINDER,Barrow,30680,JENNIFER.BETHLEHEMDOC@GMAIL.COM,
GAAC00280,NIGHTINGALE INFUSION INC. -NEA,Public ,+1 (706) 769-7658,1751 MERIWEATHER DR,SUITE 2,WATKINSVILLE,Oconee,30677,BFRIES@HELP-1.COM,
GAAC01540,IVYDALE WELLNESS CENTER LLC,"Public with a focus on minority, transitional home, and homeless populations",+1 (770) 291-0419,361 RESOURCE PARKWAY,OPTIONAL,WINDER,Barrow,30680,IVYDALEWELLNESSCENTER@GMAIL.COM,
GAAC01351,HODGSON'S PHARMACY,Public/Private (depending on vaccine availability),+1 (706) 543-7386,1260 S MILLEDGE AVE STE F-1,,ATHENS,Clarke,30605,RABUN@HODGSONSRX.COM,
GAAC01595,OGLETHORPE COUNTY EMS,Public/Private (situation depending),+1 (706) 743-8364,892 ATHENS ROAD,,CRAWFORD,Oglethorpe,30630,JLEWIS@OGLETHORPECOUNTYGA.GOV,
GAAC00905,CENTER FOR VACCINES AND IMMUNOLOGY,,+1 (706) 542-9708,501 D.W. BROOKS DRIVE,CVI ROOM 1504,ATHENS,Clarke,30602,TEDROSS@UGA.EDU,
GAA600429,AUBURN PRIMARY CARE PC,,+1 (770) 848-9320,12 SEVENTH ST,,AUBURN,Barrow,30011,CINDY.FULCHER@NGHS.COM,
GAA601309,NGPG GATEWAY EXCHANGE,,+1 (770) 868-5186,426 EXCHANGE BOULEVARD,SUITE 600,BETHLEHEM,Barrow,30620,ME.YANG@NGHS.COM,
,,,,,,,,,,
,,*All blank have been left voicemails/emailed but have not responded,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
